date,merchant,amount,type,category,raw_description
2026-01-09,Zepto,498,expense,Food,Quick grocery delivery
2026-01-10,Blinkit,354,expense,Food,Snacks and essentials
2026-01-11,Uber,286,expense,Transport,Cab to office
2026-01-12,Ola,232,expense,Transport,Cab ride
2026-01-13,Uber,384,expense,Transport,Airport cab
2026-01-14,Amazon,2760,expense,Shopping,Storage organizers
2026-01-15,Flipkart,3120,expense,Shopping,Clothing purchase
2026-01-16,Netflix,649,expense,Entertainment,Monthly subscription
2026-01-17,Spotify,119,expense,Entertainment,Music subscription
2026-01-18,BookMyShow,740,expense,Entertainment,Movie tickets
2026-01-19,IndiGo,4580,expense,Travel,Flight booking
2026-01-20,Air India,6240,expense,Travel,Flight booking
2026-01-21,Apollo Pharmacy,680,expense,Healthcare,Prescription medicines
2026-01-22,Practo,1100,expense,Healthcare,Doctor consultation
2026-01-23,Water Board,620,expense,Bills,Water bill
2026-01-24,Swiggy,698,expense,Food,Weekend dinner
2026-01-25,Amazon,980,expense,Shopping,Books and supplies
2026-01-26,Uber,264,expense,Transport,Weekend cab
2026-01-27,Ola,216,expense,Transport,Auto ride
2026-01-28,Neighbourhood Cafe,490,expense,Food,Coffee and breakfast
2026-01-29,Metro Card Recharge,600,expense,Transport,Metro commute
2026-01-30,Cash Withdrawal,2200,expense,Other,Household cash expenses
2026-01-31,Local Repair Shop,850,expense,Other,Small home repair
2026-02-01,Acme Technologies Salary,128000,income,Salary,Monthly salary credit
2026-02-02,House Rent,28000,expense,Rent,February apartment rent
2026-02-03,BESCOM Electricity,2310,expense,Bills,Electricity bill
2026-02-04,Airtel Xstream,999,expense,Bills,Home internet bill
2026-02-05,Swiggy,684,expense,Food,Dinner order
2026-02-06,Zomato,592,expense,Food,Lunch delivery
2026-02-07,BigBasket,2890,expense,Food,Monthly groceries
2026-02-08,DMart,3540,expense,Food,Household groceries
2026-02-09,Zepto,526,expense,Food,Quick grocery delivery
2026-02-10,Blinkit,418,expense,Food,Snacks and essentials
2026-02-11,Uber,342,expense,Transport,Cab to office
2026-02-12,Ola,264,expense,Transport,Cab ride
2026-02-13,Uber,426,expense,Transport,Airport cab
2026-02-14,Amazon,1980,expense,Shopping,Kitchen supplies
2026-02-15,Flipkart,4480,expense,Shopping,Electronics purchase
2026-02-16,Netflix,649,expense,Entertainment,Monthly subscription
2026-02-17,Spotify,119,expense,Entertainment,Music subscription
2026-02-18,BookMyShow,980,expense,Entertainment,Movie tickets
2026-02-19,IndiGo,6720,expense,Travel,Flight booking
2026-02-20,Air India,7460,expense,Travel,Flight booking
2026-02-21,Apollo Pharmacy,760,expense,Healthcare,Prescription medicines
2026-02-22,Practo,1300,expense,Healthcare,Doctor consultation
2026-02-23,Water Board,620,expense,Bills,Water bill
2026-02-24,Swiggy,812,expense,Food,Family dinner
2026-02-25,Amazon,1540,expense,Shopping,Office supplies
2026-02-26,Uber,298,expense,Transport,Evening cab
2026-02-27,Ola,208,expense,Transport,Auto ride
2026-02-28,Neighbourhood Cafe,610,expense,Food,Coffee and breakfast
2026-02-28,Metro Card Recharge,750,expense,Transport,Metro commute
2026-02-28,Cash Withdrawal,2800,expense,Other,Household cash expenses
2026-03-01,Acme Technologies Salary,132000,income,Salary,Monthly salary credit
2026-03-02,House Rent,28000,expense,Rent,March apartment rent
2026-03-03,BESCOM Electricity,2070,expense,Bills,Electricity bill
2026-03-04,Airtel Xstream,999,expense,Bills,Home internet bill
2026-03-05,Swiggy,618,expense,Food,Dinner order
2026-03-06,Zomato,476,expense,Food,Lunch delivery
2026-03-07,BigBasket,3020,expense,Food,Monthly groceries
2026-03-08,DMart,3675,expense,Food,Household groceries
2026-03-09,Zepto,596,expense,Food,Quick grocery delivery
2026-03-10,Blinkit,474,expense,Food,Snacks and essentials
2026-03-11,Uber,354,expense,Transport,Cab to office
2026-03-12,Ola,252,expense,Transport,Cab ride
2026-03-13,Uber,438,expense,Transport,Airport cab
2026-03-14,Amazon,2350,expense,Shopping,Home supplies
2026-03-15,Flipkart,3899,expense,Shopping,Clothing purchase
2026-03-16,Netflix,649,expense,Entertainment,Monthly subscription
2026-03-17,Spotify,119,expense,Entertainment,Music subscription
2026-03-18,BookMyShow,1260,expense,Entertainment,Movie tickets
2026-03-19,IndiGo,5920,expense,Travel,Flight booking
2026-03-20,Air India,8140,expense,Travel,Flight booking
2026-03-21,Apollo Pharmacy,640,expense,Healthcare,Prescription medicines
2026-03-22,Practo,1250,expense,Healthcare,Doctor consultation
2026-03-23,Water Board,620,expense,Bills,Water bill
2026-03-24,Swiggy,756,expense,Food,Weekend dinner
2026-03-25,Amazon,1760,expense,Shopping,Books and supplies
2026-03-26,Uber,324,expense,Transport,Evening cab
2026-03-27,Ola,236,expense,Transport,Auto ride
2026-03-28,Neighbourhood Cafe,540,expense,Food,Coffee and breakfast
2026-03-29,Metro Card Recharge,800,expense,Transport,Metro commute
2026-03-30,Cash Withdrawal,2600,expense,Other,Household cash expenses
2026-03-31,Local Repair Shop,1250,expense,Other,Small home repair
